A15,A14,A13,A12,A11,A10,A9,A8,A7,A6,A5,A4,A3,A2,A1,A16
0,202.0,g,f,1,t,t,1.25,v,w,g,u,0.0,30.83,b,+
560,43.0,g,f,6,t,t,3.04,h,q,g,u,4.46,58.67,a,+
824,280.0,g,f,0,f,t,1.5,h,q,g,u,0.5,24.5,a,+
3,100.0,g,t,5,t,t,3.75,v,w,g,u,1.54,27.83,b,+
0,120.0,s,f,0,f,t,1.71,v,w,g,u,5.625,20.17,b,+
0,360.0,g,t,0,f,t,2.5,v,m,g,u,4.0,32.08,b,+
31285,164.0,g,t,0,f,t,6.5,h,r,g,u,1.04,33.17,b,+
1349,80.0,g,f,0,f,t,0.04,v,cc,g,u,11.585,22.92,a,+
314,180.0,g,f,0,f,t,3.96,h,k,p,y,0.5,54.42,b,+
1442,52.0,g,t,0,f,t,3.165,v,w,p,y,4.915,42.5,b,+
0,128.0,g,t,0,f,f,2.165,h,c,g,u,0.83,22.08,b,+
200,260.0,g,f,0,f,t,4.335,h,c,g,u,1.835,29.92,b,+
0,0.0,g,t,0,f,t,1.0,v,k,g,u,6.0,38.25,a,+
2690,0.0,g,f,0,f,f,0.04,v,k,g,u,6.04,48.08,b,+
0,0.0,g,t,7,t,t,5.0,v,q,g,u,10.5,45.83,a,+
0,320.0,g,t,10,t,t,0.25,v,k,p,y,4.415,36.67,b,+
0,396.0,g,t,3,t,t,0.96,v,m,g,u,0.875,28.25,b,+
245,120.0,g,f,10,t,t,3.17,v,q,g,u,5.875,23.25,a,+
0,0.0,g,t,0,f,t,0.665,h,d,g,u,0.25,21.83,b,+
0,96.0,g,f,7,t,t,0.75,h,cc,g,u,8.585,19.17,a,+
1208,200.0,g,f,17,t,t,2.5,v,c,g,u,11.25,25.0,b,+
0,300.0,s,f,0,f,t,0.835,v,c,g,u,1.0,23.25,b,+
1260,0.0,g,t,6,t,t,7.875,v,c,g,u,8.0,47.75,a,+
11,120.0,g,f,1,t,t,3.085,h,x,g,u,14.5,27.42,a,+
0,145.0,g,t,3,t,t,0.5,v,q,g,u,6.5,41.17,a,+
0,100.0,g,f,2,t,t,1.5,h,c,g,u,0.585,15.83,a,+
0,0.0,g,t,9,t,t,5.165,bb,i,g,u,13.0,47.0,a,+
0,0.0,g,t,17,t,t,15.0,bb,d,g,u,18.5,56.58,b,+
0,0.0,g,f,3,t,t,7.0,h,e,g,u,8.5,57.42,b,+
10000,500.0,g,t,6,t,t,5.0,v,w,g,u,1.04,42.08,b,+
0,168.0,g,t,5,t,t,5.04,v,aa,g,u,14.79,29.25,b,+
0,0.0,g,f,8,t,t,7.96,h,x,g,u,9.79,42.0,b,+
5000,0.0,g,t,15,t,t,7.585,bb,i,g,u,7.585,49.5,b,+
4000,0.0,g,t,0,f,t,5.0,v,e,g,u,5.125,36.75,a,+
560,0.0,g,t,5,t,t,0.415,v,q,g,u,10.75,22.58,a,+
35,434.0,g,t,11,t,t,2.0,v,w,g,u,1.5,27.83,b,+
713,583.0,g,t,12,t,t,1.835,h,cc,g,u,1.585,27.25,b,+
551,300.0,g,t,2,t,t,0.5,h,x,g,u,11.75,23.0,a,+
500,260.0,g,f,2,t,t,0.25,v,cc,p,y,0.585,27.75,b,+
300,30.0,g,t,11,t,t,14.415,ff,ff,g,u,9.415,54.58,b,+
221,0.0,g,t,12,t,t,4.5,v,c,g,u,9.17,34.17,b,+
2283,0.0,g,f,11,t,t,5.335,h,c,g,u,15.0,28.92,b,+
100,240.0,g,f,1,t,t,0.75,h,w,g,u,1.415,29.67,b,+
0,70.0,g,t,6,t,t,8.625,v,w,g,u,13.915,39.58,b,+
15,0.0,g,f,40,t,t,28.5,v,c,p,y,28.0,56.42,b,+
284,0.0,g,t,11,t,t,2.625,h,c,g,u,6.75,54.33,b,+
1236,455.0,g,t,23,t,t,0.125,h,q,p,y,2.04,41.0,a,+
